IUPAC,ion1,ion2,density,temperature,pressure
1-butyl-3-methylpyridinium dicyanamide,[N-1][Branch1][Ring1][C][#N][C][#N],[C][Branch1][Ring2][C][C][C][N+1][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C],1058.4,283.15,101.325
1-butyl-3-methylpyridinium tetrafluoroborate,[F][B-1][Branch1][C][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C],1192.8,283.15,100
1-butyl-3-methylpyridinium tetrafluoroborate,[F][B-1][Branch1][C][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C],1192.8,283.15,101.325
1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,[F][C][Branch2][Ring1][Branch2][S][=Branch1][C][=O][=Branch1][C][=O][N-1][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C],1429.55,283.15,101.325
1-butyl-4-methylpyridinium tetrafluoroborate,[F][B-1][Branch1][C][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C],1192.85,283.15,100
1-butyl-4-methylpyridinium tetrafluoroborate,[F][B-1][Branch1][C][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C],1192.85,283.15,101.325
1-butyl-4-methylpyridinium tricyanomethanide,[C][#Branch1][C][#N][C-1][Branch1][Ring1][C][#N][C][#N],[C][Branch1][Ring2][C][C][C][N+1][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C],1045.9,283.15,100
1-butylpyridinium bis(fluorosulfonyl)amide,[F][S][=Branch1][C][=O][=Branch1][C][=O][N-1][S][=Branch1][C][=O][=Branch1][C][=O][F],[C][Branch1][Ring2][C][C][C][N+1][=C][C][=C][C][=C][Ring1][=Branch1],1381.9,283.15,101.325
1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][=C][C][=C][C][=C][Ring1][=Branch1],1462.8,283.15,101.325
1-butylpyridinium tetrafluoroborate,[F][B-1][Branch1][C][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][=C][C][=C][C][=C][Ring1][=Branch1],1224.68,283.15,100
1-butylpyridinium tetrafluoroborate,[F][B-1][Branch1][C][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][=C][C][=C][C][=C][Ring1][=Branch1],1224.68,283.15,101.3
1-decyl-3-methyl-1H-imidazolium tetracyanoborate,[C][#Branch1][C][#N][B-1][Branch1][Ring1][C][#N][Branch1][Ring1][C][#N][C][#N],[C][Branch1][#Branch2][C][C][C][C][C][C][C][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],972.81,283.15,101.325
1-ethyl-1H-imidazolium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][Branch1][C][C][NH1+1][C][=N][C][=C][Ring1][Branch1],1047.2,283.15,101.325
1-ethyl-2-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,[F][C][Branch2][Ring1][Branch2][S][=Branch1][C][=O][=Branch1][C][=O][N-1][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F],[C][Branch1][C][C][N+1][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C],1520.3,283.15,100
1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide,[F][S][=Branch1][C][=O][=Branch1][C][=O][N-1][S][=Branch1][C][=O][=Branch1][C][=O][F],[C][Branch1][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1455.6,283.15,101.325
1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,[C][#Branch1][C][#N][C-1][Branch1][Ring1][C][#N][C][#N],[C][Branch1][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1092.05,283.15,101.325
"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",[F][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch2][Ring1][#C][S][=Branch1][C][=O][=Branch1][C][=O][N][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F][F],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1610.4,283.15,101.325
1-ethyl-3-methylimidazolium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1108.486667,283.15,101.325
1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1533.49,283.15,101.325
1-ethyl-3-methylimidazolium dicyanamide,[N-1][Branch1][Ring1][C][#N][C][#N],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1114.933333,283.15,101.325
1-ethyl-3-methylimidazolium diethyl phosphate,[P][=Branch1][C][=O][Branch1][Ring2][O][C][C][Branch1][Ring2][O][C][C][O-1],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1154.7,283.15,101.325
1-ethyl-3-methylimidazolium ethyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][Ring2][O][C][C][O-1],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1247.36125,283.15,100
1-ethyl-3-methylimidazolium ethyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][Ring2][O][C][C][O-1],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1247.36125,283.15,101.325
1-ethyl-3-methylimidazolium hydrogen sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][C][O][O-1],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1376.7,283.15,101.325
1-ethyl-3-methylimidazolium methanesulfonate,[C][S][=Branch1][C][=O][=Branch1][C][=O][O-1],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1252.314,283.15,101
1-ethyl-3-methylimidazolium methanesulfonate,[C][S][=Branch1][C][=O][=Branch1][C][=O][O-1],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1252.314,283.15,101.325
1-ethyl-3-methylimidazolium methyl phosphonate,[P][Branch1][Ring1][O][C][Branch1][C][O-1][=O],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1201.8,283.15,101.325
1-ethyl-3-methylimidazolium methyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][Ring1][O][C][O-1],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1281.895,283.15,101
1-ethyl-3-methylimidazolium methyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][Ring1][O][C][O-1],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1281.895,283.15,101.325
1-ethyl-3-methylimidazolium octyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][#Branch2][O][C][C][C][C][C][C][C][C][O-1],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1104.35,283.15,101.325
1-ethyl-3-methylimidazolium tetracyanoborate,[C][#Branch1][C][#N][B-1][Branch1][Ring1][C][#N][Branch1][Ring1][C][#N][C][#N],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1048.333333,283.15,101.325
1-ethyl-3-methylimidazolium tetrafluoroborate,[F][B-1][Branch1][C][F][Branch1][C][F][F],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1293.8,283.15,100
1-ethyl-3-methylimidazolium tetrafluoroborate,[F][B-1][Branch1][C][F][Branch1][C][F][F],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1293.8,283.15,101
1-ethyl-3-methylimidazolium tetrafluoroborate,[F][B-1][Branch1][C][F][Branch1][C][F][F],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1293.8,283.15,101.325
1-ethyl-3-methylimidazolium thiocyanate,[S-1][C][#N],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1126.825,283.15,101
1-ethyl-3-methylimidazolium thiocyanate,[S-1][C][#N],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1126.825,283.15,101.325
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,[F][C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O-1][Branch1][C][F][F],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1396.995,283.15,101.325
